kratek_naziv,drugi_nazivi,zacetek_aktivnosti,konec_aktivnosti,domneven_zacetek,domneven_konec,obmocja_delovanja,strani_z_omembo
Aletti,['Fratelli Aletti'],1927,1927,False,False,['IT'],"[163, 420]"
Allgäuer,['Helmut Algäuer'],1997,1997,False,False,['AT'],[594]
Angster,['Josef Angster'],1884,1918,False,False,['HU'],"[29, 38, 75, 130, 166, 175, 203, 247, 327, 329, 341, 345, 450, 465, 574]"
Antolić,['Filip Antolić Soban'],1983,1983,False,False,['HR'],"[195, 203, 351, 357, 614]"
Bencz,"['Georgio Bencz', 'Jurij Benč']",1935,1940,False,False,['GO'],"[25, 29, 38, 121, 153, 185, 215, 219, 369, 380, 549, 572, 611, 634]"
Benda,['Andrej Benda'],1951,1969,False,False,['LJ'],"[25, 29, 58, 73, 111, 112, 120, 127, 296, 333, 337, 382, 396, 431, 447, 457, 480, 499, 511, 529, 531, 532, 551, 560, 597, 603, 623, 624, 634, 661]"
Bervar,['Josip Bervar'],1890,1898,False,False,['CE'],"[171, 325, 343, 620]"
Bilih,"['Jernej Bilih', 'Batholomä Billich']",1837,1887,False,False,['CE'],"[27, 45, 124, 158, 179, 187, 191, 194, 204, 244, 311, 327, 336, 347, 366, 375, 409, 415, 423, 443, 504, 522, 525, 529, 544, 561, 623, 642]"
Blanc,['Pietro Blanc Albo'],1464,1470,False,False,['GO'],[18]
Bosch,['Werner Bosch'],1950,1970,True,True,['DE'],[372]
Bossi,"['Pietro Antonio Bossi', 'Vicenzo Bossi', 'Pietro A. di Giuseppe Bossi']",1801,1882,False,False,['GO'],"[25, 28, 35, 37, 211, 378, 407, 447, 514, 544, 562, 612]"
Bračko,['Ludvik Bračko'],1990,2013,False,False,['MB'],"[89, 90, 199, 256, 307, 311, 317, 318, 321, 335, 370, 415, 430, 440, 475, 477, 525, 564, 599, 627, 628, 640]"
Brandl,['Josip Brandl'],1894,1938,False,False,['MB'],"[29, 30, 38, 80, 84, 85, 106, 107, 136, 161, 162, 173, 174, 187, 189, 193, 196, 199, 222, 225, 235, 240, 253, 256, 279, 306, 307, 311, 316, 317, 318, 319, 322, 324, 328, 334, 335, 336, 347, 365, 371, 373, 380, 387, 388, 396, 401, 404, 412, 424, 426, 428, 438, 439, 445, 448, 470, 473, 477, 486, 488, 495, 506, 512, 513, 518, 525, 556, 557, 570, 572, 577, 579, 590, 599, 607, 611, 614, 621, 627, 628, 640, 642]"
Bukovšek,['Marijan Bukovšek'],2000,2018,False,False,['LJ'],"[58, 59, 60, 65, 78, 126, 143, 144, 152, 200, 251, 271, 305, 334, 390, 396, 409, 415, 420, 429, 435, 439, 466, 501, 506, 517, 562, 572, 599, 619, 634, 646, 671, 673]"
Cajhen,"['Martin Cajhen', 'Martin Zeichen']",1858,1866,False,False,['CE'],"[28, 37, 45, 61, 63, 65, 87, 349, 402, 409, 419, 440, 455, 477, 481, 486, 509, 564, 637]"
Callido,"['Gaetano Callido', 'Antonio Callido', 'Agostino Callido']",1769,1803,False,False,['IT'],"[25, 28, 35, 37, 185, 217, 219, 318, 377, 378, 407, 558, 626]"
Casparini,"['Eugenio Casparini', 'Johann Eugen Caspar']",1660,1698,False,False,"['DE', 'GO', 'IT']","[22, 24, 33, 34, 364]"
Colarič,['Franc Colarič'],1880,1897,False,False,['KO'],[25]
Cecilia,"['Cecilia Gorica', 'Caecilia Gorizia']",1928,1934,False,False,['GO'],"[29, 32, 38, 53, 54, 56, 147, 153, 154, 168, 169, 207, 225, 253, 466, 528, 575, 678]"
Collona,['Vincenzo Colonna'],1606,1606,False,False,['IT'],"[19, 33]"
Corte,['Pietro de Corte'],1851,1864,False,False,['GO'],[25]
Černe,['Boštjan Černe'],1990,2018,False,False,['LJ'],"[31, 39, 73, 77, 119, 120, 121, 128, 135, 154, 155, 199, 206, 213, 222, 226, 232, 257, 275, 280, 308, 314, 331, 343, 358, 362, 377, 385, 392, 413, 426, 438, 452, 461, 488, 490, 521, 525, 538, 549, 571, 572, 612, 621, 626, 630, 647, 648, 670, 673]"
Dernič,['Anton Dernič'],1910,1928,False,False,['LJ'],"[29, 38, 64, 65, 72, 73, 86, 238, 289, 293, 294, 432, 447, 457, 483, 489, 499, 541, 563, 635]"
Deutschmann,['Janez Deutschmann'],1860,1863,False,False,"['AT', 'MB']",[195]
Dev,['Fran Ksaver Dev'],1855,1870,False,False,['LJ'],"[17, 27, 32, 34, 38, 47, 64, 65, 74, 82, 92, 122, 135, 137, 142, 168, 169, 170, 176, 204, 207, 209, 213, 215, 233, 235, 236, 237, 238, 240, 242, 251, 253, 256, 280, 286, 296, 307, 343, 360, 371, 375, 390, 391, 399, 422, 446, 448, 461, 467, 475, 491, 492, 515, 523, 535, 537, 551, 588, 597, 613, 622, 624, 626, 630, 648, 663, 676]"
Dvoršak,"['Andrej Dvoršak', 'Orglarska delavnica Maribor']",2013,2018,False,False,['MB'],"[300, 373, 430, 486, 511]"
Ebner,"['Leonhard Ebner', 'Lenart Ebner']",1855,1885,False,False,['MB'],"[27, 123, 126, 130, 147, 152, 154, 187, 211, 242, 249, 258, 322, 367, 451, 467, 469, 506, 592, 599, 607]"
Eißl,"['Joannes Georgius Eißl', 'Johann Georg Eißl', 'Janez Jurij Eisel']",1753,1780,False,False,['LJ'],"[23, 24, 26, 34, 73, 135, 150, 171, 172, 194, 199, 216, 266, 275, 289, 349, 366, 455, 518, 529, 535, 549, 600, 602, 643, 647]"
Faller,"['Janez Faller', 'Johann Faller']",1680,1733,False,True,['LJ'],"[24, 34, 111, 174, 340, 345, 404, 480, 496, 521, 604, 612, 630, 635]"
Faust,['Paul Faust'],1948,1948,False,False,['DE'],[653]
Fluder,['Caspar Fluder'],1668,1680,False,False,['AT'],"[188, 340]"
Freundt,['Johannes Freundt'],1660,1680,False,False,['DE'],"[22, 33]"
Frobenius,['Frobenius Orgelbyggeri'],1957,1957,False,False,['DN'],[189]
Georgius de Venetia,['Georgius de Venetia'],826,826,False,False,"['GO', 'IT']",[18]
Göbl,"['Marko Göbl', 'Marcus Göbl']",1741,1754,False,False,['LJ'],"[24, 34, 199, 275, 420, 433, 606]"
Goršič,"['Franc Goršič', 'Martin Goršič']",1856,1898,False,False,['LJ'],"[27, 28, 29, 31, 37, 38, 39, 43, 56, 65, 78, 93, 95, 101, 119, 132, 135, 149, 154, 163, 170, 176, 177, 180, 183, 201, 206, 207, 216, 221, 222, 225, 236, 264, 266, 268, 270, 289, 292, 293, 299, 300, 308, 325, 329, 333, 340, 356, 357, 364, 383, 390, 391, 399, 411, 412, 432, 433, 442, 443, 456, 466, 472, 479, 483, 488, 492, 493, 506, 518, 529, 536, 543, 547, 569, 582, 588, 602, 603, 608, 611, 623, 626, 627, 630, 631, 636, 644, 645, 646, 650]"
Göstl,['Andrej Göstl'],1840,1858,False,False,['NM'],"[25, 501]"
Grafenauer,"['Franc Grafenauer', 'Jožef Grafenauer']",1847,1913,False,False,['KO'],"[25, 28, 37]"
Grebičičer,"['Ignac Grebičičer', 'Ignaz Grebitschitscher', 'Ignaz Grobitschitscher']",1725,1784,False,False,['KO'],[24]
Habersack,['Stefan Habersack'],1719,1719,False,False,['GR'],[370]
Hägglinger,['Jacob Hägglinger'],1696,1696,False,False,['GR'],"[484, 552, 609]"
Hallecker,"['Alojz Hallecker', 'Alois Hallegger']",1873,1888,False,False,['MB'],"[443, 479]"
Heferer,"['Michael Heferer', 'Mijo Heferer']",1873,1899,True,False,['HR'],"[406, 469, 571, 574]"
Hesse,"['Karl Hesse', 'Carl Hesse']",1847,1852,False,False,['GO'],"[25, 28, 29, 25, 37, 121, 369, 399, 418, 571]"
Hofbauer,[''],1982,1988,False,False,['DE'],"[143, 276, 288, 482, 580]"
